Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
30-08-2023,S003,P0003,Toys,East,251,96,131,95.82,27.41,6.2,Rainy,1,25.4,Summer
22-04-2022,S004,P0013,Toys,West,238,61,135,49.59,24.68,0.09,Sunny,0,25.0,Spring
02-05-2022,S004,P0005,Electronics,West,223,210,124,205.12,71.99,14.7,Snowy,0,66.62,Spring
10-05-2022,S002,P0014,Electronics,South,388,289,2,343.0,199.12,4.13,Rainy,1,199.56,Spring
16-09-2022,S005,P0009,Groceries,North,407,26,61,24.33,15.45,1.22,Cloudy,0,16.33,Autumn
22-03-2023,S004,P0005,Electronics,West,500,34,26,33.85,76.12,19.5,Cloudy,0,75.67,Spring
09-06-2023,S005,P0001,Groceries,North,180,34,102,40.11,33.46,5.54,Rainy,1,35.37,Summer
11-12-2022,S003,P0018,Groceries,East,303,183,129,210.57,8.16,0.45,Rainy,0,8.41,Winter
18-11-2022,S003,P0012,Clothing,East,286,171,102,194.67,90.12,9.92,Rainy,0,90.17,Autumn
23-07-2023,S001,P0010,Clothing,North,108,46,139,40.46,45.93,10.02,Sunny,0,46.43,Summer
19-11-2023,S002,P0001,Groceries,South,293,96,92,90.5,32.22,8.85,Snowy,0,34.8,Autumn
24-11-2022,S001,P0010,Clothing,North,73,48,10,38.51,44.41,4.61,Cloudy,1,47.81,Autumn
26-12-2023,S003,P0013,Toys,East,463,167,93,158.63,24.5,6.64,Cloudy,1,22.21,Winter
19-10-2022,S004,P0002,Toys,West,64,41,136,40.55,60.65,13.16,Cloudy,0,55.44,Autumn
06-12-2023,S003,P0013,Toys,East,386,87,89,100.4,23.97,4.41,Cloudy,0,24.6,Winter
08-04-2023,S004,P0018,Groceries,West,336,306,8,351.76,8.11,1.98,Cloudy,0,8.31,Spring
16-06-2023,S004,P0016,Furniture,West,169,35,141,34.6,251.36,63.49,Cloudy,0,241.05,Summer
16-03-2022,S001,P0014,Electronics,North,475,348,90,395.2,192.34,47.33,Sunny,1,201.77,Spring
08-07-2022,S002,P0004,Clothing,South,85,58,38,47.25,32.84,8.13,Snowy,0,33.77,Summer
23-09-2022,S005,P0005,Electronics,North,440,19,68,15.74,76.29,3.48,Cloudy,0,70.72,Autumn
13-06-2022,S001,P0013,Toys,North,389,350,112,309.3,24.74,1.44,Rainy,0,24.91,Summer
05-01-2022,S001,P0019,Electronics,North,86,67,20,68.99,508.93,128.31,Snowy,0,504.23,Winter
17-10-2022,S002,P0016,Furniture,South,400,398,126,326.28,242.53,34.41,Cloudy,1,241.8,Autumn
29-06-2023,S003,P0020,Clothing,East,263,168,33,142.99,73.92,1.02,Cloudy,0,72.27,Summer
03-01-2022,S004,P0013,Toys,West,183,16,48,18.88,24.28,2.06,Rainy,0,22.75,Winter
25-06-2023,S005,P0003,Toys,North,416,287,17,243.82,27.45,1.96,Snowy,0,28.67,Summer
26-01-2023,S003,P0019,Electronics,East,430,342,21,338.08,519.03,143.71,Rainy,1,492.89,Winter
13-03-2022,S001,P0011,Furniture,North,495,284,87,326.41,123.03,25.15,Rainy,0,110.92,Spring
23-08-2023,S004,P0019,Electronics,West,202,168,63,185.3,490.7,18.93,Sunny,0,479.39,Summer
23-07-2022,S004,P0012,Clothing,West,193,80,7,90.82,90.55,2.89,Rainy,1,83.04,Summer
24-05-2022,S003,P0018,Groceries,East,346,205,117,180.22,8.51,1.83,Cloudy,0,8.02,Spring
29-07-2022,S004,P0005,Electronics,West,465,9,51,7.6,71.98,13.36,Snowy,0,73.34,Summer
05-02-2022,S002,P0006,Furniture,South,65,41,150,41.95,181.01,34.2,Cloudy,0,173.83,Winter
29-05-2022,S001,P0002,Toys,North,437,227,146,213.8,60.09,5.15,Cloudy,0,58.21,Spring
31-05-2022,S004,P0001,Groceries,West,343,36,73,38.57,32.34,5.79,Snowy,0,34.07,Spring
25-01-2022,S002,P0002,Toys,South,360,24,76,20.59,64.53,16.11,Rainy,0,66.73,Winter
21-04-2022,S001,P0003,Toys,North,428,24,51,26.92,27.18,7.61,Snowy,0,28.32,Spring
06-07-2023,S003,P0016,Furniture,East,79,63,82,55.43,254.64,30.28,Rainy,0,231.26,Summer
09-03-2023,S001,P0017,Toys,North,330,296,7,330.8,19.82,4.6,Rainy,0,18.94,Spring
03-11-2023,S003,P0019,Electronics,East,58,33,104,30.77,502.22,126.65,Rainy,1,470.24,Autumn
12-08-2022,S004,P0004,Clothing,West,194,101,84,119.19,31.44,7.24,Snowy,0,30.72,Summer
21-01-2022,S004,P0005,Electronics,West,191,154,146,156.41,71.5,14.97,Snowy,0,70.94,Winter
27-04-2022,S004,P0016,Furniture,West,479,238,130,242.66,253.46,39.91,Snowy,0,263.96,Spring
27-03-2022,S002,P0003,Toys,South,143,114,117,106.24,27.8,7.28,Cloudy,1,27.79,Spring
21-06-2023,S004,P0015,Clothing,West,124,78,144,93.09,57.59,1.48,Rainy,0,59.44,Summer
23-07-2022,S003,P0004,Clothing,East,444,327,94,273.93,33.53,7.78,Rainy,1,36.24,Summer
23-04-2023,S002,P0019,Electronics,South,117,58,24,66.85,510.37,47.3,Snowy,1,531.85,Spring
17-08-2023,S005,P0009,Groceries,North,317,79,133,83.81,14.39,2.52,Snowy,1,14.96,Summer
03-12-2022,S005,P0015,Clothing,North,94,77,38,82.79,55.21,12.65,Cloudy,1,59.5,Winter
21-01-2022,S003,P0020,Clothing,East,479,280,3,295.21,74.86,13.9,Rainy,0,76.42,Winter
13-12-2023,S002,P0016,Furniture,South,202,15,16,15.0,247.34,42.45,Snowy,0,271.43,Winter
30-03-2022,S001,P0003,Toys,North,181,146,59,152.87,28.7,1.29,Sunny,0,26.4,Spring
18-08-2023,S003,P0005,Electronics,East,311,228,7,213.84,72.34,19.83,Rainy,0,74.8,Summer
27-04-2023,S004,P0020,Clothing,West,109,54,80,55.41,72.02,16.62,Rainy,0,66.35,Spring
03-03-2022,S002,P0018,Groceries,South,58,9,68,8.94,8.46,0.09,Rainy,0,8.73,Spring
21-12-2022,S002,P0020,Clothing,South,192,34,143,34.11,70.49,11.85,Sunny,0,75.0,Winter
07-12-2023,S003,P0020,Clothing,East,322,147,129,122.71,75.27,1.44,Snowy,0,80.59,Winter
30-05-2022,S002,P0008,Electronics,South,262,182,117,184.76,282.36,42.26,Cloudy,0,258.28,Spring
17-04-2023,S004,P0008,Electronics,West,129,38,83,41.7,280.73,52.56,Sunny,0,290.48,Spring
14-06-2022,S002,P0004,Clothing,South,374,290,36,335.91,31.07,2.33,Sunny,0,30.75,Summer
30-10-2022,S003,P0013,Toys,East,192,190,119,163.21,23.75,4.83,Cloudy,0,24.31,Autumn
25-10-2022,S003,P0017,Toys,East,392,311,67,271.51,20.11,0.62,Sunny,0,20.26,Autumn
19-02-2022,S002,P0013,Toys,South,159,144,13,115.59,24.52,3.55,Cloudy,0,22.89,Winter
21-09-2023,S002,P0017,Toys,South,198,180,135,168.21,20.75,3.01,Sunny,0,21.0,Autumn
13-06-2023,S002,P0008,Electronics,South,106,14,54,13.14,276.52,47.78,Rainy,0,291.35,Summer
03-03-2022,S004,P0010,Clothing,West,330,293,40,304.32,46.1,4.12,Snowy,0,47.96,Spring
18-08-2022,S005,P0002,Toys,North,338,309,120,350.74,61.96,6.59,Rainy,0,56.97,Summer
31-01-2023,S005,P0007,Groceries,North,239,195,122,176.02,4.01,0.71,Sunny,0,4.0,Winter
11-01-2022,S001,P0018,Groceries,North,325,15,70,16.46,8.56,2.25,Cloudy,0,8.21,Winter
28-06-2023,S001,P0001,Groceries,North,202,56,112,57.31,32.97,2.81,Snowy,0,34.33,Summer
27-08-2022,S002,P0009,Groceries,South,356,38,145,40.3,15.29,4.45,Snowy,0,15.31,Summer
06-01-2022,S004,P0018,Groceries,West,183,40,4,43.89,8.87,0.48,Snowy,0,9.47,Winter
26-03-2022,S002,P0011,Furniture,South,69,49,11,53.45,123.83,35.28,Rainy,0,130.06,Spring
01-12-2023,S005,P0008,Electronics,North,284,229,24,257.36,301.09,82.69,Sunny,0,308.98,Winter
20-03-2022,S002,P0011,Furniture,South,201,152,91,136.0,120.36,23.75,Snowy,1,128.3,Spring
30-08-2022,S004,P0007,Groceries,West,160,13,125,12.72,4.12,0.5,Snowy,0,3.82,Summer
01-10-2022,S002,P0013,Toys,South,313,96,79,102.34,25.81,5.03,Rainy,1,25.17,Autumn
09-08-2022,S001,P0005,Electronics,North,491,267,110,219.99,70.37,3.5,Cloudy,0,65.38,Summer
10-01-2023,S004,P0017,Toys,West,86,8,55,8.77,19.38,0.06,Cloudy,0,21.18,Winter
16-04-2023,S004,P0018,Groceries,West,377,181,40,178.35,8.66,0.47,Rainy,1,8.9,Spring
08-09-2023,S001,P0011,Furniture,North,363,296,110,253.9,119.24,14.22,Sunny,0,116.81,Autumn
25-09-2022,S003,P0007,Groceries,East,97,67,48,62.32,4.05,0.32,Cloudy,0,3.84,Autumn
14-04-2023,S004,P0009,Groceries,West,393,287,6,236.19,14.9,3.8,Sunny,0,14.41,Spring
21-09-2023,S002,P0001,Groceries,South,463,445,134,493.22,32.53,0.48,Sunny,0,35.33,Autumn
11-01-2022,S003,P0017,Toys,East,228,53,64,52.93,19.86,4.28,Rainy,0,19.48,Winter
13-11-2023,S003,P0010,Clothing,East,489,255,119,299.56,43.97,11.71,Rainy,0,44.2,Autumn
07-11-2023,S005,P0011,Furniture,North,348,106,46,97.13,118.53,30.59,Snowy,1,114.0,Autumn
12-09-2022,S005,P0004,Clothing,North,202,84,46,83.53,32.66,0.78,Rainy,0,30.98,Autumn
27-01-2022,S001,P0015,Clothing,North,411,205,6,178.77,53.26,15.26,Sunny,0,58.11,Winter
12-02-2023,S004,P0010,Clothing,West,492,417,40,454.46,43.73,9.36,Snowy,1,46.05,Winter
09-05-2023,S005,P0012,Clothing,North,188,117,43,116.01,88.02,19.57,Rainy,1,85.83,Spring
30-03-2022,S003,P0015,Clothing,East,78,42,22,37.14,55.5,4.14,Sunny,0,57.14,Spring
30-05-2023,S001,P0017,Toys,North,500,232,29,245.09,19.45,3.57,Sunny,0,18.1,Spring
15-10-2023,S001,P0003,Toys,North,418,220,63,255.59,28.65,1.42,Rainy,0,28.26,Autumn
21-03-2022,S003,P0012,Clothing,East,387,241,62,207.82,84.02,11.31,Cloudy,0,85.07,Spring
01-06-2023,S003,P0018,Groceries,East,154,118,87,134.15,8.9,0.64,Sunny,0,8.12,Summer
14-07-2023,S002,P0001,Groceries,South,483,159,68,159.85,32.03,5.66,Rainy,0,30.05,Summer
13-08-2022,S001,P0020,Clothing,North,178,133,51,113.68,73.87,13.91,Rainy,0,68.38,Summer
03-08-2023,S004,P0019,Electronics,West,289,124,82,122.59,520.24,86.71,Cloudy,1,526.36,Summer
13-10-2023,S001,P0020,Clothing,North,400,286,44,243.92,70.24,18.51,Sunny,0,74.33,Autumn
07-02-2022,S004,P0016,Furniture,West,91,7,53,6.68,245.85,21.87,Sunny,0,252.24,Winter
24-11-2022,S004,P0005,Electronics,West,77,56,107,47.9,74.16,11.05,Snowy,0,67.69,Autumn
02-09-2022,S004,P0012,Clothing,West,158,24,13,26.99,90.78,3.8,Rainy,0,84.71,Autumn
06-12-2022,S001,P0020,Clothing,North,275,57,94,48.3,73.24,17.14,Rainy,0,76.58,Winter
25-08-2022,S005,P0014,Electronics,North,465,308,73,276.18,208.91,7.84,Rainy,0,221.2,Summer
16-09-2022,S001,P0002,Toys,North,205,106,93,108.51,60.25,1.83,Snowy,0,58.43,Autumn
02-02-2022,S003,P0006,Furniture,East,214,145,77,130.5,170.41,12.64,Snowy,1,185.56,Winter
20-03-2023,S002,P0001,Groceries,South,381,102,13,86.74,34.6,9.84,Sunny,0,37.01,Spring
19-05-2023,S005,P0009,Groceries,North,342,312,143,352.63,15.51,2.63,Snowy,0,16.65,Spring
07-04-2022,S005,P0005,Electronics,North,310,42,97,39.33,76.33,20.56,Snowy,0,72.76,Spring
24-08-2023,S004,P0010,Clothing,West,189,49,65,48.77,47.47,10.56,Rainy,0,51.77,Summer
01-01-2023,S001,P0020,Clothing,North,152,114,12,115.07,69.13,4.39,Cloudy,0,70.18,Winter
24-05-2023,S004,P0009,Groceries,West,193,52,90,42.25,14.84,0.72,Sunny,1,13.88,Spring
18-12-2023,S004,P0016,Furniture,West,281,61,35,58.05,256.05,7.61,Snowy,0,279.41,Winter
16-07-2022,S001,P0008,Electronics,North,329,35,88,36.43,285.92,62.72,Snowy,0,282.48,Summer
23-08-2023,S002,P0020,Clothing,South,467,439,90,500.32,71.45,3.55,Cloudy,0,78.35,Summer
25-06-2023,S004,P0015,Clothing,West,317,69,95,59.87,57.4,12.4,Sunny,0,59.27,Summer
30-09-2023,S003,P0012,Clothing,East,253,23,109,19.66,84.45,0.67,Snowy,0,80.88,Autumn
30-10-2022,S004,P0010,Clothing,West,434,169,113,199.89,46.2,1.91,Sunny,1,43.6,Autumn
12-11-2022,S003,P0014,Electronics,East,264,229,41,233.82,198.69,21.99,Cloudy,0,211.59,Autumn
15-07-2022,S002,P0005,Electronics,South,484,63,108,64.79,76.3,5.53,Cloudy,0,69.11,Summer
29-11-2022,S004,P0007,Groceries,West,321,14,89,16.54,3.95,0.72,Rainy,1,3.77,Autumn
06-05-2023,S002,P0019,Electronics,South,399,229,112,194.28,477.76,111.49,Cloudy,1,506.03,Spring
29-07-2022,S004,P0005,Electronics,West,225,8,12,8.91,75.48,21.24,Sunny,0,77.81,Summer
25-05-2023,S001,P0003,Toys,North,473,88,11,97.0,28.27,4.82,Sunny,0,29.21,Spring
28-04-2023,S005,P0014,Electronics,North,116,5,111,4.27,194.67,15.59,Snowy,0,193.22,Spring
04-01-2022,S001,P0003,Toys,North,333,322,16,296.99,26.78,2.3,Snowy,0,28.56,Winter
16-07-2023,S002,P0005,Electronics,South,169,99,17,110.17,72.17,8.25,Rainy,0,75.73,Summer
14-02-2022,S002,P0004,Clothing,South,223,11,69,13.17,31.88,4.71,Rainy,0,29.42,Winter
23-10-2022,S003,P0009,Groceries,East,139,100,125,99.85,15.25,2.67,Cloudy,0,14.03,Autumn
03-07-2023,S001,P0016,Furniture,North,329,163,69,193.4,246.06,2.67,Cloudy,0,246.32,Summer
18-09-2022,S001,P0014,Electronics,North,201,43,87,42.59,193.14,27.37,Snowy,0,201.14,Autumn
28-04-2022,S003,P0011,Furniture,East,382,10,106,10.38,117.65,0.99,Snowy,1,128.17,Spring
01-03-2023,S002,P0007,Groceries,South,127,49,99,44.27,4.11,0.78,Snowy,0,4.15,Spring
15-10-2022,S004,P0019,Electronics,West,135,71,100,70.69,477.3,21.41,Rainy,0,446.9,Autumn
08-04-2023,S003,P0014,Electronics,East,237,146,29,124.31,200.31,2.02,Snowy,0,198.1,Spring
05-08-2023,S004,P0015,Clothing,West,393,386,33,429.78,55.45,10.41,Rainy,0,52.5,Summer
19-08-2023,S005,P0016,Furniture,North,150,14,74,14.92,239.27,42.42,Rainy,1,263.15,Summer
11-06-2023,S003,P0011,Furniture,East,407,110,55,117.65,116.89,10.91,Rainy,0,114.91,Summer
13-06-2022,S003,P0001,Groceries,East,197,16,91,18.03,34.68,5.85,Rainy,0,32.14,Summer
17-03-2023,S001,P0013,Toys,North,233,95,137,102.51,24.5,2.97,Snowy,0,25.92,Spring
13-09-2022,S005,P0014,Electronics,North,367,308,134,268.03,196.14,48.15,Rainy,0,183.29,Autumn
24-06-2023,S005,P0007,Groceries,North,458,396,34,351.31,4.15,0.64,Cloudy,1,4.04,Summer
26-10-2023,S002,P0005,Electronics,South,154,89,135,86.71,72.36,15.62,Cloudy,1,67.28,Autumn
03-06-2022,S002,P0013,Toys,South,127,122,115,142.29,24.03,4.87,Sunny,0,24.87,Summer
14-04-2023,S002,P0010,Clothing,South,69,30,144,27.39,44.26,4.69,Cloudy,0,46.72,Spring
04-06-2022,S001,P0002,Toys,North,390,316,66,357.47,63.45,7.69,Rainy,0,62.78,Summer
20-07-2022,S004,P0008,Electronics,West,89,69,99,66.83,300.5,5.78,Snowy,0,309.79,Summer
21-08-2022,S001,P0005,Electronics,North,412,177,33,186.56,76.13,13.34,Sunny,0,78.51,Summer
03-10-2022,S003,P0011,Furniture,East,53,12,69,13.71,122.71,2.19,Snowy,0,132.01,Autumn
09-04-2022,S004,P0006,Furniture,West,225,100,136,88.9,168.18,10.94,Rainy,0,175.05,Spring
04-11-2023,S005,P0014,Electronics,North,435,318,145,289.3,194.9,3.48,Cloudy,0,188.01,Autumn
30-09-2022,S003,P0015,Clothing,East,74,34,34,29.36,53.92,10.55,Snowy,0,53.25,Autumn
